factsheet,topic,attribute,subattribute,#,value,,
,,reference,citation,31,"Strauch M., R. Kumar, S. Eisner, M. Mulligan, J. Reinhardt, W. Santini, T. Vetter, J. Friesen, ""Adjustment of global precipitation data for enhanced hydrologic modelling of tropical Andean watersheds"", Climatic Change, DOI: 10.1007/s10584-016-1706-1, 2016",,
,,reference,citation,32,"Samaniego L., R. Kumar, L. Breuer, A. Chamorro, M. Flörke, I. G. Pechlivanidis, D. Schäfer, H. Shah, T. Vetter, M. Wortmann, X. Zeng, ""Propagation of forcing and model uncertainties on to hydrological drought charcteristics in a multi-model century-long experiment in large river basins"", Climatic Change, doi:10.1007/s10584-016-1778-y, 2016",,
,,reference,citation,33,"Su B., J. Huang, X. Zeng, Ch. Gao, T. Jiang, ""Impacts of climate change on streamflow in the upper Yangtze River basin"", Climatic Change, DOI 10.1007/s10584-016-1852-5, 2016",,
,,reference,citation,34,"Katja Frieler, Bernhard Schauberger, Almut Arneth, Juraj Balkovi, James Chryssanthacopoulos, Delphine Deryng, Joshua Elliott, Christian Folberth, Nikolay Khabarov, Christoph Müller, Stefan Olin, Thomas A. M. Pugh, Sibyll Schaphoﬀ, Jacob Schewe, Erwin Schmid, Lila Warszawski, and Anders Levermann, ""Understanding the weather signal in national crop-yield variability"", Earth's Future, DOI 10.1002/2016EF000525, Volume 5, Issue 6 June 2017 Pages 605–616",,
,,reference,citation,35,"Akihiko Ito, Kazuya Nishina, Christopher P O Reyer, Louis François, Alexandra-Jane Henrot, Guy Munhoven, Ingrid Jacquemin, Hanqin Tian, Jia Yang, Shufen Pan, ""Photosynthetic productivity and its efficiencies in ISIMIP2a biome models: benchmarking for impact assessment studies"", Environmental Research Letters, Volume 12, Number 8, https://doi.org/10.1088/1748-9326/aa7a19",,
,,reference,citation,36,"Julia L. Blanchard et al., ""Linked sustainability challenges and trade-offs among fisheries, aquaculture and agriculture"", Nature Ecology & Evolution",,
,year,,,1,2016,,
,regional coverage,region,,1,"mostly global, some sectors also have focus regions ",,
,time horizon,start,,1,1971,,
,,end,,1,2100,,
